Name ,Link,State,Party
"Graves, Sam",https://twitter.com/RepSamGraves,MO,R
"Green, Al",https://twitter.com/RepAlGreen,TX,D
"Green, Mark",https://twitter.com/RepMarkGreen,TN,R
"Greene, Majorie Taylor",https://twitter.com/RepMTG,GA,R
"Griffith, Morgan",https://twitter.com/RepMGriffith,VA,R
"Grijalva, Raul",https://twitter.com/RepRaulGrijalva,AZ,D
"Grothman, Glenn",https://twitter.com/RepGrothman,WI,R
"Guest, Michael",https://twitter.com/RepMichaelGuest,MS,R
"Guthrie, S. Brett",https://twitter.com/RepGuthrie,KY,R
"Hagedorn, Jim",https://twitter.com/RepHagedorn,MN,R
"Harder, Josh",https://twitter.com/RepJoshHarder,CA,D
"Harris, Andy",https://twitter.com/RepAndyHarrisMD,MD,R
"Harshbarger, Diana",https://twitter.com/RepHarshbarger,TN,R
"Hartzler, Vicky",https://twitter.com/RepHartzler,MO,R
"Hastings, Alcee L.",https://twitter.com/RepHastingsFL,FL,D
"Hayes, Jahana",https://twitter.com/RepJahanaHayes,CT,D
"Hern, Kevin",https://twitter.com/repkevinhern,OK,R
"Herrell, Yvette",https://twitter.com/RepHerrell,NM,R
"Herrera Butler, Jaime",https://twitter.com/HerreraBeutler,WA,R
"Hice, Jody",https://twitter.com/CongressmanHice,GA,R
"Higgins, Brian",https://twitter.com/RepBrianHiggins,NY,D
"Higgins, Clay",https://twitter.com/RepClayHiggins,LA,R
"Hill, French",https://twitter.com/RepFrenchHill,AR,R
"Himes, Jim",https://twitter.com/jahimes,CT,D
"Hinson, Ashley",https://twitter.com/RepAshleyHinson,IA,R
"Hollingsworth, Trey",https://twitter.com/RepTrey,IN,R
"Horsford, Steven",https://twitter.com/RepHorsford,NV,D
"Houlahan, Chrissy",https://twitter.com/RepHoulahan,PA,D
"Hoyer, Steny H.",https://twitter.com/LeaderHoyer,MD,D
"Hudson, Richard",https://twitter.com/RepRichHudson,NC,R
"Huffman, Jared",https://twitter.com/RepHuffman,CA,D
"Huizenga, Bill",https://twitter.com/RepHuizenga,MI,R
"Issa, Darrell",https://twitter.com/repdarrellissa,CA,R
"Jackson Lee, Sheila",https://twitter.com/JacksonLeeTX18,TX,D
"Jackson, Ronny",https://twitter.com/RepRonnyJackson,TX,R
"Jacobs, Chris",https://twitter.com/RepJacobs,NY,R
"Jacobs, Sara",https://twitter.com/RepSaraJacobs,CA,D
"Jayapal, Pramila",https://twitter.com/RepJayapal,WA,D
"Jeffries, Hakeem",https://twitter.com/RepJeffries,NY,D
"Johnson, Bill",https://twitter.com/RepBillJohnson,OH,R
"Johnson, Dusty",https://twitter.com/RepDustyJohnson,SD,R
"Johnson, Eddie Bernice",https://twitter.com/RepEBJ,TX,D
"Johnson, Henry C. ""Hank"" Jr.",https://twitter.com/RepHankJohnson,GA,D
"Johnson, Mike",https://twitter.com/RepMikeJohnson,LA,R
"Jones, Mondaire",https://twitter.com/RepMondaire,NY,D
"Jordan, Jim",https://twitter.com/Jim_Jordan,OH,R
"Joyce, David",https://twitter.com/RepDaveJoyce,OH,R
"Joyce, John",https://twitter.com/RepJohnJoyce,PA,R
"Kahele, Kaiali'i",https://twitter.com/KaheleRep,HI,D
"Kaptur, Marcy",https://twitter.com/RepMarcyKaptur,OH,D
"Katko, John",https://twitter.com/RepJohnKatko,NY,R
"Keating, William",https://twitter.com/USRepKeating,MA,D
"Keller, Fred",https://twitter.com/RepFredKeller,PA,R
"Kelly, Mike",https://twitter.com/MikeKellyPA,PA,R
"Kelly, Robin",https://twitter.com/RepRobinKelly,IL,D
"Kelly, Trent",https://twitter.com/RepTrentKelly,MS,R
"Khanna, Ro",https://twitter.com/RepRoKhanna,CA,D
"Kildee, Dan",https://twitter.com/RepDanKildee,MI,D
"Kilmer, Derek",https://twitter.com/RepDerekKilmer,WA,D
"Kim, Andy",https://twitter.com/RepAndyKimNJ,NJ,D
"Kim, Young",https://twitter.com/RepYoungKim,CA,R
"Kind, Ron",https://twitter.com/RepRonKind,WI,D
"Kinzinger, Adam",https://twitter.com/RepKinzinger,IL,R
"Kirkpatrick, Ann",https://twitter.com/RepKirkpatrick,AZ,D
"Krishnamoorthi, Raja",https://twitter.com/CongressmanRaja,IL,D
"Kuster, Ann",https://twitter.com/RepAnnieKuster,NH,D
"Kustoff, David",https://twitter.com/RepDavidKustoff,TN,R
"LaHood, Darin",https://twitter.com/RepLaHood,IL,R
"LaMalfa, Doug",https://twitter.com/RepLaMalfa,CA,R
"Lamb, Conor",https://twitter.com/RepConorLamb,PA,D
"Lamborn, Doug",https://twitter.com/RepDLamborn,CO,R
"Langevin, Jim",https://twitter.com/JimLangevin,RI,D
"Larsen, Rick",https://twitter.com/RepRickLarsen,WA,D
"Larson, John B.",https://twitter.com/RepJohnLarson,CT,D
"Latta, Robert E.",https://twitter.com/boblatta,OH,R
"LaTurner, Jake",https://twitter.com/RepLaTurner,KS,R
"Lawrence, Brenda",https://twitter.com/RepLawrence,MI,D
"Lawson, Al",https://twitter.com/RepAlLawsonJr,FL,D
"Lee, Barbara",https://twitter.com/RepBarbaraLee,CA,D
"Lee, Susie",https://twitter.com/RepSusieLee,NV,D
"Leger Fernandez, Teresa",https://twitter.com/RepTeresaLF,NM,D
"Lesko, Debbie",https://twitter.com/RepDLesko,AZ,R
"Letlow, Julia",https://twitter.com/RepJuliaLetlow,LA,R
"Levin, Andy",https://twitter.com/RepAndyLevin,MI,D
"Levin, Mike",https://twitter.com/RepMikeLevin,CA,D
"Lieu, Ted",https://twitter.com/RepTedLieu,CA,D
"Lofgren, Zoe",https://twitter.com/RepZoeLofgren,CA,D
"Long, Billy",https://twitter.com/USRepLong,MO,R
"Loudermilk, Barry",https://twitter.com/RepLoudermilk,GA,R
"Lowenthal, Alan",https://twitter.com/RepLowenthal,CA,D
"Lucas, Frank",https://twitter.com/RepFrankLucas,OK,R
"Luetkemeyer, Blaine",https://twitter.com/RepBlaine,MO,R
"Luria, Elaine",https://twitter.com/RepElaineLuria,VA,D
"Lynch, Stephen F.",https://twitter.com/RepStephenLynch,MA,D
"Mace, Nancy",https://twitter.com/RepNancyMace,SC,R
"Malinowski, Tom",https://twitter.com/RepMalinowski,NJ,D
"Malliotakis, Nicole",https://twitter.com/RepMalliotakis,NY,R
"Maloney, Carolyn",https://twitter.com/RepMaloney,NY,D
"Maloney, Sean Patrick",https://twitter.com/RepSeanMaloney,NY,D
"Mann, Tracey",https://twitter.com/RepMann,KS,R
"Manning, Kathy E.",https://twitter.com/RepKManning,NC,D
"Massie, Thomas",https://twitter.com/RepThomasMassie,KY,R
"Mast, Brian",https://twitter.com/RepBrianMast,FL,R
"Matsui, Doris O.",https://twitter.com/DorisMatsui,CA,D
"McBath, Lucy",https://twitter.com/RepLucyMcBath,GA,D
"McCarthy, Kevin",https://twitter.com/GOPLeader,CA,R
"McCaul, Michael T.",https://twitter.com/RepMcCaul,TX,R
"McClain, Lisa C.",https://twitter.com/RepLisaMcClain,MI,R
"McClintock, Tom",https://twitter.com/RepMcClintock,CA,R
"McCollum, Betty",https://twitter.com/BettyMcCollum04,MN,D
"McEachin, A. Donald",https://twitter.com/RepMcEachin,VA,D
"McGovern, James",https://twitter.com/RepMcGovern,MA,D
"McHenry, Patrick T.",https://twitter.com/PatrickMcHenry,NC,R
"McKinley, David",https://twitter.com/RepMcKinley,WV,R
"McNerney, Jerry",https://twitter.com/RepMcNerney,CA,D
"Meeks, Gregory W.",https://twitter.com/RepGregoryMeeks,NY,D
"Meijer, Peter",https://twitter.com/RepMeijer,MI,R
"Meng, Grace",https://twitter.com/RepGraceMeng,NY,D
"Meuser, Daniel",https://twitter.com/RepMeuser,PA,R
"Mfume, Kweisi",https://twitter.com/RepKweisiMfume,MD,D
"Miller-Meeks, Mariannette",https://twitter.com/RepMMM,IA,R
"Miller, Carol",https://twitter.com/RepCarolMiller,WV,R
"Miller, Mary E.",https://twitter.com/RepMaryMiller,WV,R
"Moolenaar, John",https://twitter.com/RepMoolenaar,MI,R
"Mooney, Alex",https://twitter.com/RepAlexMooney,WV,R
"Moore, Barry",https://twitter.com/RepBarryMoore,AL,R
"Moore, Blake D.",https://twitter.com/RepBlakeMoore,UT,R
"Moore, Gwen",https://twitter.com/RepGwenMoore,WI,D
"Morelle, Joe",https://twitter.com/RepJoeMorelle,NY,D
"Moulton, Seth",https://twitter.com/teammoulton,MA,D
"Mrvan, Frank J.",https://twitter.com/RepMrvan,IN,D
"Mullin, Markwayne",https://twitter.com/RepMullin,OK,R
"Murphy, Gregory Francis",https://twitter.com/RepGregMurphy,NC,R
"Murphy, Stephanie",https://twitter.com/RepStephMurphy,FL,D
"Nadler, Jerrold",https://twitter.com/RepJerryNadler,NY,D
"Napolitano, Grace",https://twitter.com/gracenapolitano,CA,D
"Neal, Richard E.",https://twitter.com/RepRichardNeal,MA,D
"Neguse, Joe",https://twitter.com/RepJoeNeguse,CO,D
"Nehls, Troy E.",https://twitter.com/RepTroyNehls,TX,R
"Newhouse, Dan",https://twitter.com/RepNewhouse,WA,R
"Newman, Marie",https://twitter.com/RepMarieNewman,IL,D
"Norcross, Donald",https://twitter.com/DonaldNorcross,NJ,D
"Norman, Ralph",https://twitter.com/RepRalphNorman,SC,R
"Norton, Eleanor Holmes",https://twitter.com/EleanorNorton,DC,D
"Nunes, Devin",https://twitter.com/RepDevinNunes,CA,R
"O'Halleran, Tom",https://twitter.com/RepOHalleran,AZ,D
"Obernolte, Jay",https://twitter.com/JayObernolte,CA,R
"Ocasio-Cortez, Alexandria",https://twitter.com/RepAOC,NY,D
"Omar, Ilhan",https://twitter.com/Ilhan,MN,D
"Owens, Burgess",https://twitter.com/RepBurgessOwens,UT,R
"Palazzo, Steven",https://twitter.com/CongPalazzo,MS,R
"Pallone Jr., Frank",https://twitter.com/FrankPallone,NJ,D
"Palmer, Gary",https://twitter.com/USRepGaryPalmer,AL,R
"Panetta, Jimmy",https://twitter.com/RepJimmyPanetta,CA,D
"Pappas, Chris",https://twitter.com/RepChrisPappas,NH,D
"Pascrell Jr., Bill",https://twitter.com/BillPascrell,NJ,D
"Payne Jr., Donald",https://twitter.com/RepDonaldPayne,NJ,D
"Pelosi, Nancy",https://twitter.com/SpeakerPelosi,CA,D
"Pence, Greg",https://twitter.com/RepGregPence,IN,R
"Perlmutter, Ed",https://twitter.com/RepPerlmutter,CO,D
"Perry, Scott",https://twitter.com/RepScottPerry,PA,R
"Peters, Scott",https://twitter.com/RepScottPeters,CA,D
"Pfluger, August",https://twitter.com/RepPfluger,TX,R
"Phillips, Dean",https://twitter.com/RepDeanPhillips,MN,D
"Pingree, Chellie",https://twitter.com/chelliepingree,ME,D
"Plaskett, Stacey",https://twitter.com/StaceyPlaskett,VI,D
"Pocan, Mark",https://twitter.com/repmarkpocan,WI,D
"Porter, Katie",https://twitter.com/RepKatiePorter,CA,D
"Posey, Bill",https://twitter.com/congbillposey,FL,R
"Pressley, Ayanna",https://twitter.com/RepPressley,MA,D
"Price, David",https://twitter.com/RepDavidEPrice,NC,D
"Quigley, Mike",https://twitter.com/RepMikeQuigley,IL,D
"Radewagen, Amata",https://twitter.com/RepAmata,AS,R
"Raskin, Jamie",https://twitter.com/RepRaskin,MD,D
"Reed, Tom",https://twitter.com/RepTomReed,NY,R
"Reschenthaler, Guy",https://twitter.com/GReschenthaler,PA,R
"Rice, Kathleen",https://twitter.com/RepKathleenRice,NY,D
"Rice, Tom",https://twitter.com/RepTomRice,SC,R
"Rodgers, Cathy McMorris",https://twitter.com/cathymcmorris,WA,R
"Rogers, Harold",https://twitter.com/RepHalRogers,KY,R
"Rogers, Mike",https://twitter.com/RepMikeRogersAL,AL,R
"Rose, John W.",https://twitter.com/RepJohnRose,TN,R
"Rosendale, Matthew M.",https://twitter.com/RepRosendale,MT,R
"Ross, Deborah K.",https://twitter.com/RepDeborahRoss,NC,D
"Rouzer, David",https://twitter.com/RepDavidRouzer,NC,R
"Roy, Chip",https://twitter.com/RepChipRoy,TX,R
"Roybal-Allard, Lucille",https://twitter.com/RepRoybalAllard,CA,D
"Ruiz, Raul",https://twitter.com/RepRaulRuizMD,CA,D
"Ruppersberger, C. A. Dutch",https://twitter.com/Call_Me_Dutch,MD,D
"Rush, Bobby L.",https://twitter.com/RepBobbyRush,IL,D
"Rutherford, John",https://twitter.com/RepRutherfordFL,FL,R
"Ryan, Tim",https://twitter.com/RepTimRyan,OH,D
"Sablan, Gregorio",https://twitter.com/Kilili_Sablan,MP,D
"Salazar, Maria Elvira",https://twitter.com/RepMariaSalazar,FL,R
"San Nicolas, Michael F. Q.",https://twitter.com/GuamCongressman,GU,D
"Sánchez, Linda",https://twitter.com/RepLindaSanchez,CA,D
"Sarbanes, John P.",https://twitter.com/RepSarbanes,MD,D
"Scalise, Steve",https://twitter.com/SteveScalise,LA,R
"Scanlon, Mary Gay",https://twitter.com/RepMGS,PA,D
"Schakowsky, Jan",https://twitter.com/janschakowsky,IL,D
"Schiff, Adam",https://twitter.com/RepAdamSchiff,CA,D
"Schneider, Bradley",https://twitter.com/RepSchneider,IL,D
"Schrader, Kurt",https://twitter.com/RepSchrader,OR,D
"Schrier, Kim",https://twitter.com/RepKimSchrier,WA,D
"Schweikert, David",https://twitter.com/RepDavid,AZ,R
"Scott, Austin",https://twitter.com/AustinScottGA08,GA,R
"Scott, David",https://twitter.com/repdavidscott,GA,D
"Scott, Robert C.",https://twitter.com/BobbyScott,VA,D
"Sessions, Pete",https://twitter.com/PeteSessions,TX,R
"Sewell, Terri A.",https://twitter.com/RepTerriSewell,AL,D
"Sherman, Brad",https://twitter.com/BradSherman,CA,D
"Sherrill, Mikie",https://twitter.com/RepSherrill,NJ,D
"Simpson, Mike",https://twitter.com/CongMikeSimpson,ID,R
"Sires, Albio",https://twitter.com/RepSires,NJ,D
"Slotkin, Elissa",https://twitter.com/RepSlotkin,MI,D
"Smith, Adam",https://twitter.com/RepAdamSmith,WA,D
"Smith, Adrian",https://twitter.com/RepAdrianSmith,NE,R
"Smith, Chris",,NJ,R
"Smith, Jason",https://twitter.com/RepJasonSmith,MO,R
"Smucker, Lloyd",https://twitter.com/RepSmucker,PA,R
"Soto, Darren",https://twitter.com/RepDarrenSoto,FL,D
"Spanberger, Abigail",https://twitter.com/RepSpanberger,VA,D
"Spartz, Victoria",https://twitter.com/RepSpartz,IN,R
"Speier, Jackie",https://twitter.com/RepSpeier,CA,D
"Stansbury, Melanie ",https://twitter.com/Rep_Stansbury,NM,D
"Stanton, Greg",https://twitter.com/RepGregStanton,AZ,D
"Stauber, Pete",https://twitter.com/RepPeteStauber,MN,R
"Steel, Michelle",https://twitter.com/RepSteel,CA,R
"Stefanik, Elise",https://twitter.com/RepStefanik,NY,R
"Steil, Bryan",https://twitter.com/RepBryanSteil,WI,R
"Steube, W. Gregory",https://twitter.com/RepGregSteube,FL,R
"Stevens, Haley",https://twitter.com/RepHaleyStevens,MI,D
"Stewart, Chris",https://twitter.com/RepChrisStewart,UT,R
"Strickland, Marilyn",https://twitter.com/RepStricklandWA,WA,D
"Suozzi, Thomas",https://twitter.com/RepTomSuozzi,NY,D
"Swalwell, Eric",https://twitter.com/RepSwalwell,CA,D
"Takano, Mark",https://twitter.com/RepMarkTakano,CA,D
"Taylor, Van",https://twitter.com/RepVanTaylor,TX,R
"Tenney, Claudia",https://twitter.com/claudiatenney,NY,R
"Thompson, Bennie G.",https://twitter.com/BennieGThompson,MS,D
"Thompson, Glenn",https://twitter.com/CongressmanGT,PA,R
"Thompson, Mike",https://twitter.com/RepThompson,CA,D
"Tiffany, Thomas P.",https://twitter.com/RepTiffany,WI,R
"Timmons, William",https://twitter.com/RepTimmons,SC,R
"Titus, Dina",https://twitter.com/repdinatitus,NV,D
"Tlaib, Rashida",https://twitter.com/RepRashida,MI,D
"Tonko, Paul D.",https://twitter.com/RepPaulTonko,NY,D
"Torres, Norma",https://twitter.com/NormaJTorres,CA,D
"Torres, Ritchie",https://twitter.com/RepRitchie,NY,D
"Trahan, Lori",https://twitter.com/RepLoriTrahan,MA,D
"Trone, David",https://twitter.com/RepDavidTrone,MD,D
"Turner, Mike",https://twitter.com/RepMikeTurner,OH,R
"Underwood, Lauren",https://twitter.com/RepUnderwood,IL,D
"Upton, Fred",https://twitter.com/RepFredUpton,MI,R
"Valadao, David G.",https://twitter.com/RepDavidValadao,CA,R
"Van Drew, Jefferson",,NJ,R
"Van Duyne, Beth",https://twitter.com/RepBethVanDuyne,TX,R
"Vargas, Juan",https://twitter.com/RepJuanVargas,CA,D
"Veasey, Marc",https://twitter.com/RepVeasey,TX,R
"Vela, Filemon",https://twitter.com/RepFilemonVela,TX,D
"Velázquez, Nydia M.",https://twitter.com/NydiaVelazquez,NY,D
"Wagner, Ann",https://twitter.com/RepAnnWagner,MO,R
"Walberg, Tim",https://twitter.com/RepWalberg,MI,R
"Walorski, Jackie",https://twitter.com/RepWalorski,IN,R
"Waltz, Michael",https://twitter.com/michaelgwaltz,FL,R
"Wasserman Schultz, Debbie",https://twitter.com/RepDWStweets,FL,R
"Waters, Maxine",https://twitter.com/RepMaxineWaters,CA,D
"Watson Coleman, Bonnie",https://twitter.com/RepBonnie,NJ,D
"Weber, Randy",https://twitter.com/TXRandy14,TX,R
"Webster, Daniel",https://twitter.com/RepWebster,FL,R
"Welch, Peter",https://twitter.com/PeterWelch,VT,D
"Wenstrup, Brad",https://twitter.com/RepBradWenstrup,OH,R
"Westerman, Bruce",https://twitter.com/RepWesterman,AR,R
"Wexton, Jennifer",https://twitter.com/RepWexton,VA,D
"Wild, Susan",https://twitter.com/RepSusanWild,PA,D
"Williams, Nikema",https://twitter.com/RepNikema,GA,D
"Williams, Roger",https://twitter.com/RepRWilliams,TX,R
"Wilson, Frederica",https://twitter.com/RepWilson,FL,D
